sentence_A	sentence_B	entailment_label	label_enc
A man is sitting and tables a comfortable discussion	A man wearing a dyed black shirt is sitting at the table and laughing	NEUTRAL	2
A man is playing flute	A man is playing soccer	NEUTRAL	2
A girl is combing the hair of a little pony's tail	The girl, who is little, is combing her hair into a pony tail.	NEUTRAL	2
The woman is wearing glasses and a black headdress	The woman with a black hat is wearing sunglasses	NEUTRAL	2
Two men are fighting in a cattle pen	Nobody is fighting in a cow pasture	NEUTRAL	2
A man and a woman are walking down the street of a city	A man and a woman are walking down a city street	ENTAILMENT	1
The baby is being put into a trash can by a woman	A person is putting meat into a skillet carelessly	NEUTRAL	2
Two bikes are being ridden by two people	Two people are riding a bike	ENTAILMENT	1
A pair of kids are sticking out blue and green colored tongues	Two kids are sticking out blue and green colored tongues	ENTAILMENT	1
A woman is boiling eggs	A woman is drying eggs	NEUTRAL	2
A bicyclist is jumping on a pyramid-shaped ramp	A young man on a bmx bicycle is jumping off a masonry pyramid	ENTAILMENT	1
A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	The white dog is not wearing reindeer ears and isn't near a brown dog	CONTRADICTION	0
A dog is near the red ball in the air	A dog, which is small, is playing on the green grass	NEUTRAL	2
Two people are sitting on a park bench on a sunny day	Two people are sitting on a park bench on a rainy day	NEUTRAL	2
A girl is melting two pieces of butter together	Tofu is being sliced by a woman	NEUTRAL	2
A woman is staging a dance	A woman is dancing on a stage	NEUTRAL	2
A large dog and a small dog are standing next to the kitchen counter and are investigating	Two dogs are looking up at a kitchen countertop	NEUTRAL	2
Nobody is playing with a toad	A man is playing the trumpet	NEUTRAL	2
Three people are driving four wheel ATVs in a field	Three people are driving four wheel vehicles in a field	ENTAILMENT	1
A child in a green and white sports uniform is running over the grass	A child in a green and white uniform for sports is running over the grass	ENTAILMENT	1
A small child is showing boredom on a swing set at the park	The little girl is swinging and the woman is standing behind her	NEUTRAL	2
Two boys on a couch are reading a book	Two boys on a couch are playing video games	NEUTRAL	2
The person is not drawing	The person is drawing	CONTRADICTION	0
A dog is catching a ball in mid air	A brown and white dog is leaping in the air with a tennis ball in its mouth	NEUTRAL	2
A woman is dancing beautifully in a cage	A woman is dancing in a cage	ENTAILMENT	1
A woman is cooking an egg in a skillet	A woman is pouring a mixture into a bowl and mixing it	NEUTRAL	2
A person is not performing tricks on a motorcycle	A man on a motorcycle is riding on one wheel	NEUTRAL	2
Nobody is holding a hedgehog	An onion is being sliced	NEUTRAL	2
Two boy are playing on a trampoline	Some boys are playing on a trampoline	ENTAILMENT	1
There is no man dancing on the road	A man is dancing on the road	CONTRADICTION	0
A monkey is kicking a person	A monkey is practicing martial arts	NEUTRAL	2
Two men are hugging	Two men are fighting	NEUTRAL	2
A woman is wearing a colorful shirt and a lot of jewelry	A girl with Indian clothing and henna on her hand is going through paperwork	NEUTRAL	2
A man in a blue cowboy hat is riding a white horse	A woman in blue is riding a horse on a dirt road	NEUTRAL	2
One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water	Two males are standing on a cliff edge and one is jumping into the water	NEUTRAL	2
A young girl in a bikini is jumping on the beach	No girl with a bikini is playing in the dunes	NEUTRAL	2
The woman is slicing an onion	A man is putting away a carrot	NEUTRAL	2
A small boy in a yellow shirt is laughing on the beach	A little boy is topless and is serious	NEUTRAL	2
A person is riding a horse	Potatoes are being sliced by a woman	NEUTRAL	2
A racer is leaning on a racing motorcycle	A man is leaning on a racing motorcycle	NEUTRAL	2
There is no veteran showing things from a war to some people	A large man is sitting in a military accessories store	NEUTRAL	2
A blond boy is sliding down a sand dune on a skateboard	A woman is swiftly snowboarding down an incline and another woman is standing behind her	NEUTRAL	2
People are walking outside a building that has many murals on it	Several people are in front of a colorful building	NEUTRAL	2
A racer is leaning on a racing motorcycle	The motorcycle racer is riding a red and black bike	NEUTRAL	2
A blonde girl is hanging by gymnastic ropes	A girl is hanging by gymnastic ropes	ENTAILMENT	1
People in costumes are sitting in the street	People in costumes are walking around in the street	NEUTRAL	2
There is no small guinea pig gnawing and eating a piece of carrot on the floor	A guinea pig is eating a carrot	CONTRADICTION	0
Two girls are happily playing inside a jumper house	Two girls are playing inside a jumper house	ENTAILMENT	1
A brown and white dog is resting in the grass	A brown and white dog is running through the tall grass	NEUTRAL	2
A large group of cheerleaders is walking in a parade	The cheerleaders are parading and wearing uniforms which are black, pink and white	NEUTRAL	2
A man is playing a guitar	A man is not playing a guitar	CONTRADICTION	0
Two people in two chairs are talking	Two people in two chairs are reading	NEUTRAL	2
A horse is leaping a hurdle and has a rider on its back	A horse and its rider are leaping over a barrier	ENTAILMENT	1
Nobody is dangling from straps and kicking at each other	A blonde girl is hanging by gymnastic ropes	NEUTRAL	2
A dog is opening a can of food	A dog is biting a can	ENTAILMENT	1
A little boy with brown hair is jumping off of a brown chair onto the floor	A young boy is jumping onto a chair	NEUTRAL	2
A person is quickly chopping mushrooms with a knife	There is no man rapidly chopping some mushrooms with a knife	NEUTRAL	2
A woman is eating a cupcake	A woman is eating a cake	NEUTRAL	2
Two baby pandas are playing	Two pandas are not lying together	ENTAILMENT	1
A man is jumping onto a low wall	A man is standing in front of a wall	NEUTRAL	2
The furry brown dog is not running through the grassy area	The brown dog is playing outdoors	NEUTRAL	2
A man is eating some food	The person is eating	ENTAILMENT	1
A child is hitting a baseball	A child is missing a baseball	CONTRADICTION	0
There is no boy hanging a fishing rod and running in front of a fish	A boy is hanging a fishing rod and running in front of a fish 	CONTRADICTION	0
A man is playing flute	There is no man playing soccer	NEUTRAL	2
Two children are playing on a statue	There are no children playing on a statue	CONTRADICTION	0
There is no dog leaping through snowy grass and rocks	Two large dogs, a light colored one and a dark one, are running through snowy terrain	NEUTRAL	2
A man is wearing a hard hat and dancing	A man is wearing a hat which is hard and is dancing	ENTAILMENT	1
Some football players in red and white are jumping and hugging	Football players in red and white are jumping and hugging each other	ENTAILMENT	1
A man is standing on the top of the rocks with clouds behind them	A person is lying on the top of the rocks with clouds behind them	NEUTRAL	2
The male, who is dark skinned, is standing on one hand in front of a yellow building	A black man is break dancing on the pavement	NEUTRAL	2
The lady is peeling the potato	There is no lady peeling the potato	CONTRADICTION	0
A woman is playing an electric guitar	A guitar is being played by a man	NEUTRAL	2
A surfer is riding the wave	A woman in a yellow shirt is surfing on a pink surfboard	NEUTRAL	2
A homeless man is holding up a sign and is begging for money	A homeless man is putting down a sign and refusing some charity	NEUTRAL	2
The man is slicing the potato	The person is slicing the potato	ENTAILMENT	1
A group of rollerbladers is scattering on the street	Rollerbladers are rolling in formation down a hill	NEUTRAL	2
Two large dogs, a light colored one and a dark one, are quickly moving through snowy terrain	Two dogs are leaping through snowy grass and rocks	NEUTRAL	2
A woman is slicing meat with a knife	There is no woman slicing meat with a knife	CONTRADICTION	0
A young boy is sitting in a bathing suit and waiting for the next race	A young swimmer is sitting in a bathing suit and waiting for the next race	ENTAILMENT	1
A toy train is missing a toy car	A toy train is striking a toy car	NEUTRAL	2
A man is eating some food	The man is fasting	CONTRADICTION	0
There is no black and white dog jumping for a ball	A black and white dog is jumping for a ball	CONTRADICTION	0
Three children are running down a grassy hillside	Three children are running down a hillside covered by grass	ENTAILMENT	1
A woman, who is old, is near a white dog	A woman, who is old, is far from a white dog	NEUTRAL	2
A child is making a snow ball	A child is smashing a snow ball	NEUTRAL	2
The woman is adding sugar to the meat	The woman is not adding sugar to the meat	CONTRADICTION	0
Two young men are sitting outside near a golden statue	Two young men are playing outside near a golden statue	NEUTRAL	2
A great dog is climbing a steep hill	A great dog is getting down a steep hill	CONTRADICTION	0
A girl from Asia, in front of a brick window, doesn't look surprised	A girl from Asia, in front of a brick window, looks surprised	CONTRADICTION	0
The girl is lounging	A girl is exercising	NEUTRAL	2
A man in a cap is playing a harp	A man in a hat is playing a harp	ENTAILMENT	1
A chef is preparing some food	A chef is preparing a meal	ENTAILMENT	1
A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT	1
The guitar is being played by the man, who has the guitar case open for donations	The man is playing the guitar and has the guitar case open for donations	ENTAILMENT	1
A man is not riding a scooter	A man is playing a flute	NEUTRAL	2
The woman is adding sugar to the meat	There is no woman adding spices to some meat	NEUTRAL	2
A couple is not looking at a map	A man and a woman are standing in front of an art gallery and are looking at a map	CONTRADICTION	0
A man is standing on the top of the rocks with clouds behind them	A man is standing behind the rocks with clouds on top of them	NEUTRAL	2
Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	CONTRADICTION	0
A group of five young adults are lounging in the room	A group of five young adults are lounging indoors	ENTAILMENT	1
Four boys are kneeling next to each other in front of a ball	There are no boys kneeling next to each other in front of a ball	CONTRADICTION	0
A woman is slicing a fish	There is no woman slicing a fish	CONTRADICTION	0
Two little boys are playing outside with a soccer ball on the green grass	Two children are playing soccer in the park	NEUTRAL	2
Pedestrians and cars are moving through a traffic jam in a big city	Pedestrians and cars are moving through a traffic jam in the big city	ENTAILMENT	1
Eggs are being strongly whisked in a bowl by a person	A person is strongly whisking eggs in a bowl	ENTAILMENT	1
The woman is not wearing glasses or a headdress	The woman is wearing glasses and a black headdress	CONTRADICTION	0
A girl is wearing an orange shirt and a striped tie	A boy is wearing an orange shirt and a striped tie	NEUTRAL	2
There is no baby playing with a dog	A baby is playing with a dog 	CONTRADICTION	0
A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle	The man is getting off a motorcycle onto ground which is mostly barren	NEUTRAL	2
Two people are sitting comfortably on the bench	A man is playing soccer	NEUTRAL	2
The woman is waterskiing	A woman is wakeboarding on a lake	NEUTRAL	2
There is no monkey practicing martial arts	A monkey is kicking a person	NEUTRAL	2
A small dog is chasing a large brown cow	A dog is walking away from the tail of an animal in the grass	NEUTRAL	2
The young boy is climbing the wall made of rock	One young boy is climbing a wall made of rock	ENTAILMENT	1
Two people are carrying colorful baskets and blankets and walking near a building	Two people are carrying gray baskets and blankets and walking near a building	NEUTRAL	2
A young girl is using sign language	A girl is using sign language	ENTAILMENT	1
Some bikers are doing acrobatics on a track near water and a skyline	Some bikers are getting airborne on a track near water and a skyline	ENTAILMENT	1
The dog is running across the dirty path	A little dog is running on the sand	NEUTRAL	2
A man is playing a guitar under a windows	A man is playing a guitar	ENTAILMENT	1
A group of people is equipped with protective gear	A person in the gear used for biking is standing steadily in front of the mountains	NEUTRAL	2
A woman is cutting a white onion	A woman is cutting an onion	ENTAILMENT	1
A woman is slicing meat with a knife	A man is lumping dough	NEUTRAL	2
Two men are fighting in a cow pasture	Two men are fighting in a pen for cattle	NEUTRAL	2
The young lady is measuring the ankle of another woman	The woman is measuring the other woman	ENTAILMENT	1
A piano is being played by a man	A piano isn't being played by a man	CONTRADICTION	0
The man is lying naked near a surfboard	A surfer is leaning on a surfboard	NEUTRAL	2
The crowd is watching a football game	A group of people playing football is running in the field	NEUTRAL	2
A dog is running on the sand and chasing a ball	A dog is running on the grass and chasing a ball	NEUTRAL	2
A young man with brown hair and shades is sitting in front of some cans of soda	The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks	NEUTRAL	2
A woman is petting a dog near a stone path	A woman is playing with a brown dog on a garden path	NEUTRAL	2
A man is playing a flute	There is no man playing a guitar	NEUTRAL	2
A yellow dog is running up a sandy path	A golden retriever is running	NEUTRAL	2
A small boy in a shirt, which is yellow, is laughing on the beach	A small boy in a yellow shirt is laughing on the beach	ENTAILMENT	1
A brown dog and a black dog are playing in the sand	There is no brown dog and black dog playing in the sand	CONTRADICTION	0
A cat is jumping into a box	A young man is talking to a leaf	NEUTRAL	2
A man is having lunch	A man is eating	ENTAILMENT	1
A man dressed in black is riding a bike	A man is performing stunts on a green bicycle	NEUTRAL	2
The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket	The man in a cowboy hat is walking through a market and is putting a hand in his pocket	ENTAILMENT	1
Two people are riding motorbikes	Motorbikes are being ridden by two people	ENTAILMENT	1
Some fish are swimming quickly	Some fish are swimming	ENTAILMENT	1
The woman is picking up and holding a baby kangaroo	A woman is picking up and holding a kangaroo, which is a baby, in her arms	ENTAILMENT	1
The woman is picking up a baby kangaroo	The kangaroo is picking up the woman	NEUTRAL	2
A child in a red outfit is jumping on a trampoline	A little boy in red clothes is jumping into the air	ENTAILMENT	1
Potatoes are being sliced by a man	A man is slicing potatoes	ENTAILMENT	1
A tan skinned child is looking at the camera	A little boy with a bib is watching the camera	NEUTRAL	2
The women are divinely dancing outside	A group of people are dancing	NEUTRAL	2
There is no woman penciling on eyeshadow	A woman is putting cosmetics on her eyelid	NEUTRAL	2
A white man is walking next to a building in a big city	A black man is walking next to a building in a big city	NEUTRAL	2
Two women with dogs are walking on a forest path	Two men with dogs are walking on a forest path	NEUTRAL	2
Two dogs are running and trying to catch a soccer ball	Two dogs on the grass are playing with a plastic toy	NEUTRAL	2
A child is sitting in a red and yellow toy car	There is no child sitting in a red and yellow toy car	CONTRADICTION	0
A wet boy is jumping around on dirty and wet grass	A young boy covered in grass is jumping near a fence made of wood	NEUTRAL	2
A group of boys are playing with a ball in front of a large door made of wood	A ball made of wood is being played through a door in front of a large group of boys 	NEUTRAL	2
A dog is rolling on the ground	A dog is sleeping on the ground	NEUTRAL	2
A big brown and white spotted dog is lying on a jacket on the street	A small brown and white spotted dog is lying on a jacket on the street	NEUTRAL	2
The man is playing the guitar	The woman is playing the guitar	NEUTRAL	2
A large white dog is jumping up in the snow	A large white dog is jumping in the air over a snowy area	ENTAILMENT	1
There is no man sprinkling shredded cheese on a pizza	A man is putting some cheese on a pizza	CONTRADICTION	0
There is no dog running with a volleyball	A dog is running with a volleyball	CONTRADICTION	0
A girl is riding a horse	The person is trotting on the horse	NEUTRAL	2
The black and white dog is running and a person stands behind it	The dog, which is black and white, is running and a person stands behind it	ENTAILMENT	1
There is no man cutting a box	A homeless man is holding up a sign and is begging for money	NEUTRAL	2
A man is riding a horse in a sandy land	A guy is riding a horse	ENTAILMENT	1
No young child is riding a three wheeled scooter down the sidewalk	A young child is riding a three wheeled scooter down the sidewalk	CONTRADICTION	0
The man is taking a picture of himself and another guy	An electronic man is held as a device	NEUTRAL	2
A person near an onion has a cut	A person is cutting an onion	NEUTRAL	2
The man is cleaning the drawing on the board	The man is erasing the other man's work from the board	NEUTRAL	2
Nobody is beating an egg	Someone is beating an egg	CONTRADICTION	0
The man is silent and still	The man is singing and playing the guitar	CONTRADICTION	0
A married couple is walking down the aisle	The bride and the groom are leaving after the wedding	NEUTRAL	2
A young girl is jumping into a still lake	A young boy is jumping into a still lake	NEUTRAL	2
A man is eating a banana	The man is not eating a banana by a tree	NEUTRAL	2
A man is putting garlic on some slices of bread	A man is sprinkling seasoning on several sliced and buttered loaves of bread	ENTAILMENT	1
A young man on a bmx bicycle is jumping off a pyramid	A bicyclist is jumping on a pyramid-shaped ramp	ENTAILMENT	1
A man is performing tricks with a soccer ball	A man is kicking a soccer ball	ENTAILMENT	1
Someone is on a black and white motorcycle and is standing on the seat	A motorcycle is riding standing up on the seat of the vehicle	NEUTRAL	2
A man is holding a small animal in one hand	A man is exhibiting a small monkey	NEUTRAL	2
A dog is biting a can	A dog is dropping a can	NEUTRAL	2
A shirtless man is escorting a horse that is pulling a carriage along a paved road	A shirtless man is leading a carriage that is being pulled by a horse	ENTAILMENT	1
A tan dog is jumping up and catching a tennis ball	A dog with a tan coat is jumping up and catching a tennis ball	ENTAILMENT	1
A man on inline skates is skating at a skate park	A man on inline skates is skating at a park built for skating	ENTAILMENT	1
Some children are jumping off a trampoline	Two boy are playing on a trampoline	NEUTRAL	2
A boy is playing a guitar	A boy is not playing a guitar	CONTRADICTION	0
A man is cutting a potato	A man is slicing a potato	ENTAILMENT	1
A man is showing off a small monkey	A man is holding an animal, which is small, in one hand	ENTAILMENT	1
The cat is looking out the window at the table on the perch	The cat perched on the table is looking out the window	NEUTRAL	2
A dead bird is near a black man sitting on a tree	The black bird is sitting in a leafless tree	NEUTRAL	2
A machine is sharpening a knife	A machine is sharpening a pencil	NEUTRAL	2
A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION	0
A dog, which is black, and a white one are staring at each other in the street	One white dog is staring at the black street	NEUTRAL	2
A girl in a uniform, which is blue, is lowering her arm	A girl in a uniform, which is blue, is raising her arm.	NEUTRAL	2
Paper is being cut with scissors	Paper and scissors both cut	NEUTRAL	2
A woman is cutting butter	A woman is slicing butter	ENTAILMENT	1
The person who is playing soccer is kicking the ball between somebody's legs	The soccer player is kicking the ball between somebody's legs	ENTAILMENT	1
A man is not playing the drums	A man is playing the guitar	NEUTRAL	2
A dog is fetching a stick out of very clear water	A dog is fetching a stick out of very dirty water	NEUTRAL	2
A man with a white moustache is sitting on a balcony and is looking at the road below	A man with a white moustache is standing on a balcony and is looking at the road below	NEUTRAL	2
A young boy is quickly jumping off a chair	A young boy is jumping off a chair	ENTAILMENT	1
A band is not playing some instruments	A man is playing an electronic keyboard	NEUTRAL	2
There is no white dog standing on the leaves on the ground	A white dog is standing on the leaves on the ground	CONTRADICTION	0
A man is shaking a container over a sink in the kitchen	A man is emptying a plastic container	NEUTRAL	2
A bride with a black veil is looking down	A bride with a white veil is looking down	NEUTRAL	2
A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors	ENTAILMENT	1
A little boy is wearing a yellow tank top and is laughing	A laughing boy is in a yellow tank and is wearing a top	NEUTRAL	2
